W00EGS1016238_0008,MW00EGS1016238_8B7C76
W00EGS1016248_0063,MW00EGS1016248_7EAF01
W00EGS1016253_0102,MW00EGS1016253_9BF0B0
W00EGS1016265_0002,MW00EGS1016265_F06FF1
W00EGS1016899_0251,MW00EGS1016899_73293A
W00EGS1017144_0003,MW00EGS1017144_6087AF
W00EGS1017144_0049,MW00EGS1017144_1794E1
W00EGS1017151_0090,MW00EGS1017151_3F350E
W00EGS1017426_0036,MW00EGS1017426_1C0D5A
W00JW501203_1430,MW00JW501203_BF4B4E
W00JW501203_1431,MW00JW501203_9B6785
W00JW501203_1650,MW00JW501203_E9387B
W00JW501203_1651,MW00JW501203_0C3C5C
W00KG01660_0419,MW00KG01660_C14A6C
W10200_0091,MW10200_455DE5
W10305_0004,MW10305_3F4DFC
W10305_0007,MW10305_701D0B
W10305_0014,MW10305_555D51
W10305_0016,MW10305_3F1685
W10305_0018,MW10305_44AA61
W11249_0049,MW11249_999B2B
W11249_0057,MW11249_344810
W13528_0144,MW13528_7FB3C3
W18978_0270,MW18978_FC80EB
W19680_0172,MW19680_ECF354
W19999_0048,MW19999_15963C
W19999_0055,MW19999_D32E1D
W19999_0067,MW19999_0C79C7
W19999_0089,MW19999_20D501
W19999_0093,MW19999_4FAF3C
W19999_0096,MW19999_924B52
W19999_0100,MW19999_01AFC7
W19999_0113,MW19999_E720CF
W1GS66030_2787,MW1GS66030_F99EC1
W1GS66030_2899,MW1GS66030_D119E6
W1KG10112_0012,MW1KG10112_A4ED93
W1KG1011_0057,MW1KG1011_08CF8D
W1KG1011_0088,MW1KG1011_B5567C
W1KG11666_0006,MW1KG11666_9E2843
W1KG11666_0007,MW1KG11666_5CAD8A
W1KG11946_0051,MW1KG11946_20213D
W1KG11947_0007,MW1KG11947_3B893F
W1KG11947_0014,MW1KG11947_410370
W1KG11947_0027,MW1KG11947_5E8581
W1KG11947_0043,MW1KG11947_B2FDD0
W1KG11947_0044,MW1KG11947_D78C2D
W1KG11947_0045,MW1KG11947_46C408
W1KG13126_3594,MW1KG13126_F25876
W1KG14500_1541,MW1KG14500_010A05
W1KG14500_2301,MW1KG14500_C745CB
W1KG14964_0067,MW1KG14964_189308
W1KG14964_0105,MW1KG14964_F7BF94
W1KG2778_0003,MW1KG2778_A4885E
W1KG4244_0054,MW1KG4244_D53B27
W1KG4335_0032,MW1KG4335_A50DE3
W1KG4884_0430,MW1KG4884_2EE2D8
W1KG4884_0579,MW1KG4884_AC91C1
W1KG4884_0580,MW1KG4884_CE824F
W1KG4884_0591,MW1KG4884_66179A
W1KG4884_0621,MW1KG4884_77F619
W1KG5705_0144,MW1KG5705_ACCDB0
W1KG5705_0167,MW1KG5705_3E7DF2
W1KG5705_0175,MW1KG5705_62BCF1
W1KG5705_0202,MW1KG5705_EE8135
W1KG8320_0143,MW1KG8320_3C1AC3
W1KG8320_0144,MW1KG8320_8DD1BB
W1KG8320_0169,MW1KG8320_3AA9DA
W1KG8897_0004,MW1KG8897_1E6AB3
W1KG8897_0124,MW1KG8897_47F0CE
W1KG8897_0125,MW1KG8897_56C0E3
W1KG8897_0234,MW1KG8897_ACBC0A
W1KG8897_0235,MW1KG8897_EDB63E
W1KG8897_0236,MW1KG8897_CF73A8
W1KG8897_0237,MW1KG8897_70B6B8
W1KG8897_0240,MW1KG8897_2F270E
W1KG8899_0014,MW1KG8899_F52818
W1KG8899_0026,MW1KG8899_07CD65
W1KG8899_0044,MW1KG8899_B7176B
W1KG9409_0254,MW1KG9409_B6A3C8
W1KG9409_0282,MW1KG9409_EC2A04
W1KG988_0023,MW1KG988_D31606
W1KG988_0027,MW1KG988_57818A
W1KG988_0081,MW1KG988_FF0D1E
W1KG988_0095,MW1KG988_D71EF3
W1NLM206_0003,MW1NLM206_0772A9
W1NLM207_0010,MW1NLM207_EE09C5
W1NLM57_0012,MW1NLM57_396D17
W1PD100944_0037,MW1PD100944_0E7F55
W1PD100944_0038,MW1PD100944_60E59A
W1PD100944_0358,MW1PD100944_DF903B
W1PD100944_0706,MW1PD100944_9C1884
W1PD100944_0721,MW1PD100944_4B8A6E
W1PD100944_0739,MW1PD100944_41EDA5
W1PD100944_0868,MW1PD100944_7541A3
W1PD100944_0869,MW1PD100944_8DB216
W1PD100944_1052,MW1PD100944_23467B
W1PD100944_1060,MW1PD100944_4321F2
W1PD100944_1250,MW1PD100944_54C6C8
W1PD100944_1251,MW1PD100944_0D48D7
W1PD1725_0008,MW1PD1725_7319CD
W1PD1725_0015,MW1PD1725_B205B0
W1PD1725_0016,MW1PD1725_C8183F
W1PD1725_0024,MW1PD1725_C05ED9
W1PD1725_0025,MW1PD1725_5A5B99
W1PD1725_0026,MW1PD1725_B58E9E
W1PD1725_0027,MW1PD1725_DCE4E2
W1PD1725_0031,MW1PD1725_84D112
W1PD1725_0032,MW1PD1725_73D3D6
W1PD1725_0033,MW1PD1725_0458F1
W1PD1725_0037,MW1PD1725_B6315B
W1PD1725_0041,MW1PD1725_D77CDE
W1PD1725_0047,MW1PD1725_50ECB1
W1PD1725_0048,MW1PD1725_9C8C39
W1PD1725_0049,MW1PD1725_C5B6EE
W1PD1725_0055,MW1PD1725_6EA702
W1PD1725_0056,MW1PD1725_2FF226
W1PD1725_0057,MW1PD1725_DA946D
W1PD1725_0059,MW1PD1725_D21218
W1PD2074_0011,MW1PD2074_7F9313
W1PD2074_0017,MW1PD2074_C4A7BC
W1PD53265_0009,MW1PD53265_A0BE33
W1PD53265_0010,MW1PD53265_717BD7
W1PD76231_0004,MW1PD76231_F6CF6F
W1PD76231_0006,MW1PD76231_E71F59
W1PD90129_0216,MW1PD90129_E4E9EB
W1PD95844_3603,MW1PD95844_79C79A
W1PD96997_0171,MW1PD96997_5E8A10
W1PD96997_0200,MW1PD96997_A412A9
W20338_0040,MW20338_D767D1
W20423_0048,MW20423_E615BB
W20548_0478,MW20548_465858
W20578_2996,MW20578_75BA94
W20751_0080,MW20751_57741D
W2122_0004,MW2122_7B08F9
W2122_0068,MW2122_9C0C62
W21503_0127,MW21503_3A0F74
W21503_0231,MW21503_9B08A6
W21503_0285,MW21503_5F77A1
W21617_0018,MW21617_C1917A
W21807_0503,MW21807_D6957D
W22004_0007,MW22004_7F7398
W22004_0008,MW22004_36A0DC
W22102_0083,MW22102_3BB848
W22102_0133,MW22102_8F3CD9
W22106_0298,MW22106_A71A04
W22106_0299,MW22106_97C5C3
W22109_0339,MW22109_3D32C5
W22109_0363,MW22109_B15890
W22110_0008,MW22110_C95960
W22112_0014,MW22112_EE4135
W22112_0016,MW22112_03284E
W22112_0024,MW22112_AD8625
W22185_0011,MW22185_E4D7E9
W22185_0014,MW22185_57A113
W22185_0015,MW22185_05C92F
W22186_0126,MW22186_1C93E3
W22186_0130,MW22186_348F83
W22186_0222,MW22186_FA5EF3
W22186_0223,MW22186_755047
W22186_0227,MW22186_FCFAD0
W22186_0228,MW22186_6A4E7C
W22186_0229,MW22186_0A5953
W22186_0252,MW22186_99936F
W22186_0254,MW22186_E13A75
W22186_0263,MW22186_EE04D1
W22186_0264,MW22186_A7BF22
W22186_0266,MW22186_00E783
W22186_0267,MW22186_804528
W22186_0268,MW22186_8FC130
W22186_0281,MW22186_FC7D46
W22186_0282,MW22186_554A3C
W22186_0283,MW22186_24271E
W22186_0284,MW22186_CD522F
W22186_0285,MW22186_1FAA33
W22271_0286,MW22271_508117
W22271_0287,MW22271_607028
W22273_0016,MW22273_793780
W22273_0522,MW22273_9AAC48
W22274_0301,MW22274_E0CC1C
W22274_0316,MW22274_6A77C4
W22334_0054,MW22334_E09B32
W22334_0056,MW22334_D6BCF6
W22704_3299,MW22704_B8DDD3
W22704_3319,MW22704_FD5E39
W22704_3320,MW22704_F4DD3F
W22704_3325,MW22704_CEFE50
W22704_3327,MW22704_FC0898
W22704_3377,MW22704_3F86B0
W22704_3441,MW22704_A5DD06
W22704_3823,MW22704_4B6082
W22704_3865,MW22704_EE6FCC
W23198_0027,MW23198_03A0CF
W23198_0052,MW23198_61EA52
W23198_0059,MW23198_6D3B1D
W23198_0062,MW23198_19C528
W23200_0081,MW23200_B9F2CB
W23200_0233,MW23200_D262F4
W23444_0039,MW23444_D9D5E2
W23468_0010,MW23468_58422F
W23468_0013,MW23468_F6A4BB
W23468_0275,MW23468_4AA701
W23468_0291,MW23468_102CAD
W23504_0053,MW23504_364A7B
W23629_0002,MW23629_E395E5
W23629_0004,MW23629_672574
W23629_0007,MW23629_EF8E3E
W23636_0042,MW23636_6E3D92
W23636_0057,MW23636_DF72D6
W23637_0003,MW23637_1A6926
W23692_0024,MW23692_61943D
W23702_0508,MW23702_916722
W23702_3304,MW23702_711657
W23702_3328,MW23702_1745BD
W23702_3331,MW23702_40C9C6
W23702_3361,MW23702_A0D6E6
W23702_3362,MW23702_1E91C5
W23702_3363,MW23702_A5A09F
W23702_3433,MW23702_53764E
W23702_3441,MW23702_C5CE38
W23702_3457,MW23702_94CA07
W23702_3807,MW23702_AF482F
W23702_3811,MW23702_15AD6F
W23702_3817,MW23702_206437
W23702_3820,MW23702_3D66E8
W23702_3821,MW23702_4A2E95
W23702_3822,MW23702_D01AEB
W23702_3877,MW23702_759884
W23702_3881,MW23702_CEBBE3
W23702_3915,MW23702_29413E
W23702_3959,MW23702_1D077A
W23703_3791,MW23703_3791
W23703_3795,MW23703_3795
W23703_3796,MW23703_3796
W23703_3797,MW23703_3797
W23703_3799,MW23703_3799
W23703_3871,MW23703_3871
W23703_3872,MW23703_3872
W23703_3873,MW23703_3873
W23703_3874,MW23703_3874
W23703_3875,MW23703_3875
W23703_3876,MW23703_3876
W23703_3877,MW23703_3877
W23703_3878,MW23703_3878
W23703_3879,MW23703_3879
W23703_3880,MW23703_3880
W23703_3884,MW23703_3884
W23723_0245,MW23723_30EFAF
W23723_0306,MW23723_ABDF55
W23757_0107,MW23757_C7A340
W23828_0073,MW23828_C17630
W23828_0157,MW23828_4691DE
W23828_0303,MW23828_71E4B7
W23828_0644,MW23828_846372
W23891_0035,MW23891_37FF4B
W24769_0008,MW24769_A383A4
W24769_0010,MW24769_6DE6C8
W24829_0136,MW24829_9A2AAA
W24829_0159,MW24829_05B4C0
W25007_0167,MW25007_BA53D8
W25983_0035,MW25983_A4918F
W25983_0107,MW25983_C29693
W25983_0911,MW25983_0DACE8
W26176_0031,MW26176_7A3B1C
W27313_0033,MW27313_A447D9
W28942_0184,MW28942_314765
W28942_0190,MW28942_C1DA34
W28942_0194,MW28942_3C705D
W28942_0195,MW28942_862899
W28942_0196,MW28942_13897B
W28942_0197,MW28942_A70659
W28983_0007,MW28983_3BEAD5
W28983_0085,MW28983_873AF0
W29032_0006,MW29032_CAEB64
W29032_0007,MW29032_862944
W29032_0009,MW29032_7DF88A
W29059_0010,MW29059_5B9F1D
W29193_0299,MW29193_1D0CF4
W29193_0321,MW29193_692E08
W29194_0009,MW29194_1CD861
W29194_0015,MW29194_C5D615
W29194_0033,MW29194_F99AB2
W29195_0081,MW29195_1134C6
W29195_0138,MW29195_A2271F
W29701_0002,MW29701_8BBFCD
W29701_0044,MW29701_F17BE8
W29897_0005,MW29897_73E56F
W29897_0037,MW29897_EE4B66
W29976_0005,MW29976_84AD15
W29976_0008,MW29976_B4355D
W29981_0007,MW29981_482DF8
W29981_0008,MW29981_D81E59
W29984_0014,MW29984_404695
W2CZ7988_0220,MW2CZ7988_A7444B
